orispl_code,state,county,name,latitude,longitude,orispl_code,operator,primary_fuel,years
8224,NV,Humboldt,North Valmy,40.8831,-117.1542,8224,Sierra Pacific Power Company,Coal,2001-2017
10034,CA,Santa Clara,"Calpine Gilroy Cogen, LP",37.0001,-121.5367,10034,Calpine Corporation,Pipeline Natural Gas,2005-2017
10156,CA,Fresno,"Fresno Cogeneration Partners, LP",36.6183,-120.1,10156,"Wellhead Electric Company, Inc",Pipeline Natural Gas,2005-2017
10169,CA,Los Angeles,Carson Cogeneration Company,33.8759,-118.2491,10169,General Electric Contractual Services,Pipeline Natural Gas,2003-2017
10294,CA,Monterey,"Gilroy Energy Center, LLC for King City",36.225,-121.1278,10294,"Gilroy Energy Center, LLC",Pipeline Natural Gas,2001-2017
10349,CA,Sutter,Yuba City Energy Center,39.1365,-121.6397,10349,Calpine Corporation,Pipeline Natural Gas,2002-2017
10350,CA,Sutter,Greenleaf One,39.0536,-121.6942,10350,ProEnergy Services LLC,Pipeline Natural Gas,2012-2017
10405,CA,Fresno,Kingsburg Cogen Facility,36.547,-119.578,10405,"PurEnergy Operating Services, LLC",Pipeline Natural Gas,2012-2017
10649,CA,Kern,Bear Mountain Limited,35.4192,-118.9266,10649,WCAC Operating Company,,2016-2017
10650,CA,Kern,Badger Creek Limited,35.4837,-119.0299,10650,WCAC Operating Company,,2016-2017
10682,CO,Morgan,Brush Power Projects,40.2415,-103.631,10682,"Colorado Energy Management, LLC",Pipeline Natural Gas,2001-2017
10761,NV,Clark,Las Vegas Generating Station,36.2317,-115.1235,10761,Nevada Power Company dba NV Energy,Pipeline Natural Gas,2002-2017
10784,MT,Rosebud,Colstrip Energy Limited Partnership,45.9753,-106.6554,10784,"Rosebud Operating Services, Inc.",,2015-2017
10812,CA,San Diego,North Island,32.705,-117.189,10812,Applied Energy LLC,Pipeline Natural Gas,2009-2013
50131,CA,Fresno,Coalinga Cogeneration Facility,36.1807,-120.3885,50131,Coalinga Cogeneration Company,Pipeline Natural Gas,2007-2017
50707,CO,Weld,J M Shafer,40.0979,-104.7745,50707,Tri-State Generation & Transmission,Pipeline Natural Gas,2009-2017
50864,CA,Monterey,Sargent Canyon Cogen Facility,35.9359,-120.8405,50864,Sargent Canyon Cogeneration Company,Pipeline Natural Gas,2007-2017
50865,CA,Monterey,Salinas River Cogeneration Facility,35.9515,-120.8679,50865,Salinas River Cogeneration Company,Pipeline Natural Gas,2007-2017
50931,MT,Yellowstone,Yellowstone Energy Limited Partnership,45.8117,-108.4278,50931,"Rosebud Operating Services, Inc.",,2015-2017
50951,UT,Carbon,Sunnyside Cogeneration Associates,39.5472,-110.3917,50951,Sunnyside Cogeneration Associates,Coal,2015-2017
54238,CA,San Joaquin,DTE Stockton,37.9416,-121.3273,54238,DTE Energy Services,Wood,2014-2017
54476,WA,Whatcom,Sumas Generating Station,48.9905,-122.2733,54476,"Puget Sound Energy, Inc.",Natural Gas,2009-2017
54537,WA,Whatcom,Ferndale Generating Station,48.8283,-122.6853,54537,NAES Corporation,Natural Gas,2012-2017
54694,AZ,Yuma,Yuma Cogeneration Associates,32.7286,-114.6542,54694,Falcon Power Operating Company,Pipeline Natural Gas,2016-2017
54749,CA,San Diego,Goal Line,33.1185,-117.0995,54749,"PurEnergy Operating Services, LLC",Pipeline Natural Gas,2016-2017
54761,OR,Umatilla,Hermiston,45.8042,-119.37,54761,Perennial Power,Pipeline Natural Gas,2001-2017
54768,CA,Kern,Live Oak Limited,35.4837,-119.0298,54768,WCAC Operating Company,,2016-2017
54814,NM,San Juan,Milagro Cogeneration and Gas Plant,36.7367,-107.9417,54814,Williams Four Corners LLC,Pipeline Natural Gas,2001-2016
54854,NV,Clark,Sun Peak Generating Station,36.1392,-115.034,54854,Nevada Power Company dba NV Energy,Pipeline Natural Gas,2015-2017
55039,NM,Bernalillo,Rio Bravo Generating Station,35.026,-106.644,55039,Public Service Company of New Mexico,Pipeline Natural Gas,2001-2017
55077,NV,Clark,Desert Star Energy Center,35.7867,-114.9928,55077,San Diego Gas and Electric Company,Pipeline Natural Gas,2001-2017
55103,OR,Klamath,Klamath Cogeneration Project,42.174,-121.8112,55103,Pacific Klamath Energy,Pipeline Natural Gas,2001-2017
55112,CA,Sutter,Calpine Sutter Energy Center,39.0531,-121.6939,55112,Calpine Corporation,Pipeline Natural Gas,2001-2017
55124,AZ,Mohave,Griffith Energy Project,35.0517,-114.1334,55124,"Griffith Energy, LLC",Pipeline Natural Gas,2001-2017
55127,CO,Morgan,Manchief Generating Station,40.2201,-103.679,55127,"Colorado Energy Management, LLC",Pipeline Natural Gas,2001-2017
55129,AZ,Pinal,Desert Basin Generating Station,32.9042,-111.7889,55129,Salt River Project,Pipeline Natural Gas,2001-2017
55151,CA,Kern,La Paloma Generating Plant,35.2956,-119.5919,55151,"La Paloma Generating Company, LLC",Pipeline Natural Gas,2002-2017
55177,AZ,Mohave,"South Point Energy Center, LLC",34.8678,-114.5317,55177,Calpine Corporation,Pipeline Natural Gas,2001-2017
55179,ID,Kootenai,"Rathdrum Power, LLC",47.7861,-116.9214,55179,"Rathdrum Operating Services, Inc.",Pipeline Natural Gas,2001-2017
55182,CA,Kern,Sunrise Power Company,35.2097,-119.585,55182,"Sunrise Power Company, LLC",Pipeline Natural Gas,2001-2017
55200,CO,Denver,Arapahoe Combustion Turbine Facility,39.6692,-105.0018,55200,"Southwest Generation Colorado, LLC",Pipeline Natural Gas,2001-2017
55207,CO,Boulder,Valmont Combustion Turbine Facility,40.0197,-105.202,55207,"SWG Colorado, LLC, Southwest Generation Colorado, LLC",Pipeline Natural Gas,2001-2017
55210,NM,Dona Ana,Afton Generating Station,32.1134,-106.848,55210,Public Service Company of New Mexico,Pipeline Natural Gas,2002-2017
55217,CA,Contra Costa,"Los Medanos Energy Center, LLC",38.03,-121.8708,55217,"Los Medanos Energy Center, LLC",Pipeline Natural Gas,2001-2017
55282,AZ,Maricopa,Arlington Valley Energy Facility,33.3417,-112.8897,55282,"Arlington Valley, LLC",Pipeline Natural Gas,2002-2017
55283,CO,El Paso,Front Range Power Plant,38.6281,-104.7069,55283,Colorado Springs Utilities,Pipeline Natural Gas,2003-2017
55295,CA,Riverside,Blythe Energy,33.6157,-114.6865,55295,Blythe Energy Inc.,Pipeline Natural Gas,2003-2017
55306,AZ,Maricopa,Gila River Power Station,32.9761,-112.694,55306,"EthosEnergy Power Plant Services, LLC",Pipeline Natural Gas,2003-2017
55322,NV,Clark,Chuck Lenzie Generating Station,36.3853,-114.9228,55322,NV Energy,Pipeline Natural Gas,2006-2017
55328,OR,Umatilla,Hermiston Power Plant,45.7931,-119.3117,55328,Hermiston Power Partnership,Pipeline Natural Gas,2002-2017
55333,CA,Contra Costa,"Delta Energy Center, LLC",38.0167,-121.8439,55333,"Delta Energy Center, LLC",Pipeline Natural Gas,2002-2017
55343,NM,Luna,Luna Energy Facility,32.2983,-107.78,55343,Public Service Company of New Mexico,Pipeline Natural Gas,2006-2017
55345,CA,San Diego,"Otay Mesa Energy Center, LLC",32.5733,-116.9153,55345,"Otay Mesa Energy Center, LLC",Pipeline Natural Gas,2009-2017
55372,AZ,Maricopa,"New Harquahala Generating Company, LLC",33.4759,-113.1133,55372,North American Energy Services,Pipeline Natural Gas,2003-2017
55393,CA,Santa Clara,Metcalf Energy Center,37.2169,-121.7439,55393,"Metcalf Energy Center, LLC",Pipeline Natural Gas,2005-2017
55400,CA,Kern,Elk Hills Power,35.2802,-119.4699,55400,"Elk Hills Power, LLC",Pipeline Natural Gas,2003-2017
55453,CO,El Paso,Fountain Valley Power Plant,38.5569,-104.6875,55453,Southwest Generation Operating Co.,Pipeline Natural Gas,2001-2017
55455,AZ,Maricopa,Redhawk Generating Facility,33.33,-112.84,55455,Arizona Public Service Company,Pipeline Natural Gas,2002-2017
55477,WY,Campbell,Neil Simpson II (CT2),44.2853,-105.3841,55477,"Black Hills Power, Inc",Pipeline Natural Gas,2001-2017
55479,WY,Campbell,Wygen I,44.2862,-105.3843,55479,"Black Hills Power, Inc",Coal,2003-2017
55481,AZ,Maricopa,Mesquite Generating Station,33.3451,-112.8638,55481,"Mesquite Power Operations, LLC",Pipeline Natural Gas,2003-2017
55482,WA,Klickitat,Goldendale Generating Station,45.8114,-120.833,55482,"Puget Sound Energy, Inc.",Pipeline Natural Gas,2004-2017
55494,NV,Storey,Tri-Center Naniwa Energy,39.5617,-119.5175,55494,Tri-Center Naniwa Energy,Pipeline Natural Gas,2001-2016
55499,CA,Solano,CalPeak Power - Vaca Dixon,38.3989,-121.9239,55499,"CalPeak Power - Vaca Dixon, LLC, CalPeak Power, LLC",,2001-2017
55504,CO,Lincoln,Limon Generating Station,39.2038,-103.7005,55504,"Tri-State G & T Association, Inc.",Pipeline Natural Gas,2002-2017
55505,CO,Adams,Frank Knutson Station,39.9414,-104.6817,55505,"Tri-State G & T Association, Inc.",Pipeline Natural Gas,2002-2017
55508,CA,Fresno,CalPeak Power - Panoche,36.6531,-120.5797,55508,"CalPeak Power - Panoche, LLC, CalPeak Power, LLC",,2001-2017
55510,CA,San Diego,CalPeak Power - Border,32.5622,-116.9433,55510,"CalPeak Power - Border, LLC, CalPeak Power, LLC",,2001-2017
55512,CA,San Diego,Cuyamaca Peak Energy,32.7971,-116.972,55512,San Diego Gas and Electric Company,,2002-2017
55513,CA,San Diego,CalPeak Power - Enterprise,33.1221,-117.117,55513,"CalPeak Power - Enterprise, LLC, CalPeak Power, LLC",,2001-2017
55514,NV,Clark,Apex Generating Station,36.4178,-114.9622,55514,"Las Vegas Power Company, LLC, Los Angeles Dept of Water and Power",Pipeline Natural Gas,2003-2017
55518,CA,San Bernardino,High Desert Power Project,34.5953,-117.3647,55518,"High Desert Power Project, LLC",Pipeline Natural Gas,2003-2017
55522,AZ,Pinal,Sundance Power Plant,32.9285,-111.5899,55522,Arizona Public Service Company,Pipeline Natural Gas,2002-2017
55538,CA,San Diego,"Escondido Energy Center, LLC",33.1261,-117.1172,55538,"Escondido Energy Center, LLC",Pipeline Natural Gas,2001-2017
55540,CA,San Diego,Chula Vista Energy Center,32.5914,-117.0586,55540,"Wellhead Electric Company, Inc",Pipeline Natural Gas,2001-2017
55541,CA,Riverside,Indigo Generation Facility,33.9114,-116.5533,55541,"Wildflower Energy, LP",Pipeline Natural Gas,2001-2017
55542,CA,San Diego,Larkspur Energy Faciity,32.5672,-116.9444,55542,"Wildflower Energy, LP",Pipeline Natural Gas,2001-2017
55544,OR,Klamath,Klamath Generation Peakers,42.1727,-121.8144,55544,Pacific Klamath Energy,Pipeline Natural Gas,2002-2017
55622,UT,Salt Lake,West Valley Power Plant,40.6663,-112.031,55622,Utah Municipal Power Agency,Pipeline Natural Gas,2001-2017
55625,CA,Solano,Creed Energy Center,38.2419,-121.8551,55625,"Creed Energy Center, LLC",Pipeline Natural Gas,2003-2017
55626,CA,Solano,Lambie Energy Center,38.2216,-121.8683,55626,"Gilroy Energy Center, LLC",Pipeline Natural Gas,2003-2017
